condition,series,probe_probability,seed,detection_latency,recovery_latency,recovery_latency_censored,recovery_failed,off_threshold,on_threshold,false_active_fraction,false_passive_fraction
post_initial_probe_0.03,vigor,0.03,751006,151.0,73.0,73.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751007,88.0,109.0,109.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751008,134.0,180.0,180.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751009,69.0,220.0,220.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751010,122.0,60.0,60.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751011,155.0,38.0,38.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751012,136.0,74.0,74.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751013,79.0,63.0,63.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751014,185.0,62.0,62.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751015,128.0,30.0,30.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751016,61.0,63.0,63.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751017,77.0,95.0,95.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751018,60.0,29.0,29.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751019,128.0,122.0,122.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751020,39.0,44.0,44.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751021,87.0,72.0,72.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751022,148.0,37.0,37.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751023,144.0,116.0,116.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751024,62.0,44.0,44.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751025,73.0,81.0,81.0,0,0.25,0.75,,
